text,language
"Hello, how are you?",English
"Good morning, have a nice day.",English
I love learning Python.,English
This is a very interesting project.,English
Thank you for your help.,English
I am going to the office today.,English
Machine learning is useful.,English
What is your name?,English
Have a wonderful day.,English
I like this book.,English
Please send me the details.,English
The weather is beautiful today.,English
I am learning natural language processing.,English
Where do you live?,English
See you tomorrow.,English
How can I learn data science?,English
I am working on an NLP project.,English
Please complete this task.,English
I want to improve my programming skills.,English
Where is the nearest train station?,English
Can you explain this concept?,English
I am preparing for an interview.,English
The project is working correctly.,English
I enjoy working with machine learning.,English
आप कैसे हैं?,Hindi
"नमस्ते, आपका नाम क्या है?",Hindi
मुझे हिंदी भाषा पसंद है।,Hindi
आज मौसम बहुत अच्छा है।,Hindi
मैं पायथन सीख रहा हूँ।,Hindi
आप कहाँ रहते हैं?,Hindi
मुझे यह किताब बहुत पसंद है।,Hindi
कृपया मुझे जानकारी भेजें।,Hindi
मैं आज कार्यालय जा रहा हूँ।,Hindi
यह एक अच्छा प्रोजेक्ट है।,Hindi
आपकी मदद के लिए धन्यवाद।,Hindi
कल फिर मिलते हैं।,Hindi
मुझे मशीन लर्निंग सीखना है।,Hindi
यह विषय बहुत रोचक है।,Hindi
आज मेरा दिन बहुत अच्छा है।,Hindi
आप मुझे यह समझा सकते हैं?,Hindi
मैं इंटरव्यू की तैयारी कर रहा हूँ।,Hindi
मुझे डेटा साइंस सीखना है।,Hindi
कृपया यह काम पूरा करें।,Hindi
मुझे प्रोग्रामिंग सीखना पसंद है।,Hindi
निकटतम रेलवे स्टेशन कहाँ है?,Hindi
मैं एक एनएलपी प्रोजेक्ट पर काम कर रहा हूँ।,Hindi
मुझे इस विषय को समझना है।,Hindi
मैं रोज़ नई चीज़ें सीखता हूँ।,Hindi
तुम्ही कसे आहात?,Marathi
"नमस्कार, तुमचे नाव काय आहे?",Marathi
मला मराठी भाषा आवडते.,Marathi
आज हवामान खूप छान आहे.,Marathi
मी पायथन शिकत आहे.,Marathi
तुम्ही कुठे राहता?,Marathi
मला हे पुस्तक खूप आवडते.,Marathi
कृपया मला माहिती पाठवा.,Marathi
मी आज कार्यालयात जात आहे.,Marathi
हा एक चांगला प्रकल्प आहे.,Marathi
तुमच्या मदतीबद्दल धन्यवाद.,Marathi
उद्या पुन्हा भेटूया.,Marathi
मला मशीन लर्निंग शिकायचे आहे.,Marathi
हा विषय खूप मनोरंजक आहे.,Marathi
आजचा दिवस खूप छान आहे.,Marathi
तुम्ही मला हे समजावून सांगू शकता का?,Marathi
मी मुलाखतीची तयारी करत आहे.,Marathi
मला डेटा सायन्स शिकायचे आहे.,Marathi
कृपया हे काम पूर्ण करा.,Marathi
मला प्रोग्रामिंग शिकायला आवडते.,Marathi
सर्वात जवळचे रेल्वे स्टेशन कुठे आहे?,Marathi
मी एनएलपी प्रकल्पावर काम करत आहे.,Marathi
मला हा विषय समजून घ्यायचा आहे.,Marathi
मी दररोज नवीन गोष्टी शिकतो.,Marathi
